winner_account.address,asset.collection.name
0x000000aaee6a496aaf7b7452518781786313400f,['Mythereum']
0x0002fd0f1d0708fdf065d3625b2ee83d210d58d9,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"['Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon']"
0x000b75fcdc15d41277deb033c72d2c8d774ccced,"['CryptoAssault', 'CryptoAssault', 'CryptoAssault', 'CryptoAssault']"
0x0013d759a369091f3d2d1d1a516adaf068f67923,"['CryptoAssault', 'CryptoAssault']"
0x0017e596a62d6915af370c0421dd83661ea638da,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x001be549fa377710b9e59d57bbdf593ce1e379ca,['BlockchainCuties']
0x002a41480be02cc7a2c7f794a858e0c5b9715cec,['MyCryptoHeroes']
0x002ef03bcb122a51f6c3b20ad6f20e28a94bf070,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x003f35595dce3187b4fff2b5a2c4303f7158208a,['Mythereum']
0x00425a3380814a92345d64650834adc9bc1b15be,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x007d0a1c5b36062fc127a58e5329e8d7cd8a637e,['Hedgie']
0x008f7c856b71190c6e44a51a30a4ec32f68545e0,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x009f51a963099f54e5601e4939f88aef27643624,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x00ba38da0b70e2a50b20a4fcb463a9b8707e057c,['BlockchainCuties']
0x00c6b52bccc881c341c5a007e74c1c378d742c3c,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x00d9746f91d8a6bea5f671e9b9f195e9a6264d9b,['MarbleCards']
0x00ec8a8ec7017643c51efd7d1bec7315fdc05c3f,"['BlockchainCuties', 'BlockchainCuties', 'BlockchainCuties']"
0x010b7e692818219d4927e007ad4add7dc39398d3,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x010edafa8a3c464413a680a1f6a7115b4ee4c74d,"['Mythereum', 'Mythereum']"
0x0112bd1625557cfcd1b3e98f91165cdca1b26dad,['MyCryptoHeroes']
0x0127da512c57600b54c05ca120ae2820e2051779,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x012d646bb4d8fdf4f933c2653e3c33976f4650bb,['BlockchainCuties']
0x012e600edcd75009e9ed6f686ba4e81d9becd924,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x013cc57b21751a53bad3abea6d6f827c0ffc9d8e,['MyCryptoHeroes']
0x0151cc37e580002656bd501d6084e6a2131d8b04,['Chibi Fighters 1.0']
0x01537eadb5368b4e5cfa32087e566d6d1210fe70,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x015858b536596f1745cd6b1ae511222eb6057dfe,['Ethermon']
0x01715faad568a64a65d9a66c5c82aaef45b7048f,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
